DATE,AUINSA
1/1/93,1315.7
2/1/93,1387.4
3/1/93,1420.9
4/1/93,1426.3
5/1/93,1432
6/1/93,1415.8
7/1/93,1403.2
8/1/93,1413.2
9/1/93,1390.7
10/1/93,1360.5
11/1/93,1364.3
12/1/93,1377.3
1/1/94,1382.8
2/1/94,1367.1
3/1/94,1381
4/1/94,1343.4
5/1/94,1383.6
6/1/94,1416
7/1/94,1454.6
8/1/94,1428.4
9/1/94,1428.3
10/1/94,1436.5
11/1/94,1432.1
12/1/94,1445.3
1/1/95,1532.8
2/1/95,1605
3/1/95,1677.2
4/1/95,1708.1
5/1/95,1718.7
6/1/95,1705.5
7/1/95,1728.5
8/1/95,1666.7
9/1/95,1650
10/1/95,1685.7
11/1/95,1679.1
12/1/95,1629.8
1/1/96,1622.7
2/1/96,1613.3
3/1/96,1419.3
4/1/96,1435.3
5/1/96,1413.4
6/1/96,1454.9
7/1/96,1527
8/1/96,1545.9
9/1/96,1540.7
10/1/96,1471
11/1/96,1454.2
12/1/96,1422.6
1/1/97,1393.8
2/1/97,1402
3/1/97,1391.9
4/1/97,1379.5
5/1/97,1367.1
6/1/97,1381.4
7/1/97,1422
8/1/97,1395.3
9/1/97,1400.9
10/1/97,1400.2
11/1/97,1409.6
12/1/97,1399.7
1/1/98,1427.4
2/1/98,1439
3/1/98,1451.3
4/1/98,1438.5
5/1/98,1396.2
6/1/98,1289.1
7/1/98,1196.4
8/1/98,1306
9/1/98,1332.9
10/1/98,1340
11/1/98,1371.9
12/1/98,1369.7
1/1/99,1410.8
2/1/99,1399.1
3/1/99,1405
4/1/99,1404.3
5/1/99,1393.2
6/1/99,1378.1
7/1/99,1356.8
8/1/99,1349.7
9/1/99,1346.4
10/1/99,1385.1
11/1/99,1403.4
12/1/99,1406.6
1/1/00,1370.1
2/1/00,1306.4
3/1/00,1305.2
4/1/00,1321.4
5/1/00,1322.8
6/1/00,1346.7
7/1/00,1367.1
8/1/00,1381.8
9/1/00,1411.1
10/1/00,1412.8
11/1/00,1416.5
12/1/00,1397.2
1/1/01,1348
2/1/01,1256.4
3/1/01,1234.2
4/1/01,1179.9
5/1/01,1164.2
6/1/01,1152.9
7/1/01,1122.9
8/1/01,1145.3
9/1/01,1121.5
10/1/01,925.1
11/1/01,898.7
12/1/01,976.9
1/1/02,1031.2
2/1/02,1086.2
3/1/02,1107.7
4/1/02,1112.3
5/1/02,1143.5
6/1/02,1172.4
7/1/02,1188.4
8/1/02,1166.7
9/1/02,1194.6
10/1/02,1211.1
11/1/02,1257.7
12/1/02,1229.6
1/1/03,1231.6
2/1/03,1243.8
3/1/03,1243.6
4/1/03,1245.5
5/1/03,1265.1
6/1/03,1275.4
7/1/03,1287.6
8/1/03,1253.3
9/1/03,1259.7
10/1/03,1275.3
11/1/03,1250.1
12/1/03,1226.9
1/1/04,1242.9
2/1/04,1245.2
3/1/04,1227.8
4/1/04,1257.1
5/1/04,1238.6
6/1/04,1231.4
7/1/04,1214.5
8/1/04,1218.6
9/1/04,1220.4
10/1/04,1222.2
11/1/04,1182.6
12/1/04,1144.6
1/1/05,1137.7
2/1/05,1153.9
3/1/05,1117.7
4/1/05,1073
5/1/05,1049.4
6/1/05,1062.4
7/1/05,1016
8/1/05,993.7
9/1/05,959
10/1/05,979.2
11/1/05,1004.3
12/1/05,1012
1/1/06,992.3
2/1/06,1006.6
3/1/06,1044.1
4/1/06,1059.7
5/1/06,1075.4
6/1/06,1075
7/1/06,1027.8
8/1/06,1041.8
9/1/06,1072.2
10/1/06,1076.4
11/1/06,1092.8
12/1/06,1105.3
1/1/07,1112
2/1/07,1084.7
3/1/07,1087.6
4/1/07,1082.5
5/1/07,1056.8
6/1/07,1068.4
7/1/07,1108.3
8/1/07,1096.1
9/1/07,1070.4
10/1/07,1058.4
11/1/07,1021.6
12/1/07,985.1
1/1/08,953.9
2/1/08,949
3/1/08,947.1
4/1/08,946.7
5/1/08,907.8
6/1/08,908.3
7/1/08,976
8/1/08,1010.7
9/1/08,1046.4
10/1/08,1131.9
11/1/08,1196.3
12/1/08,1215.3
1/1/09,1122.1
2/1/09,1053.6
3/1/09,1034.4
4/1/09,1009.4
5/1/09,959.9
6/1/09,904.7
7/1/09,823.7
8/1/09,664.3
9/1/09,717
10/1/09,742
11/1/09,748.7
12/1/09,733
1/1/10,742.8
2/1/10,784.7
3/1/10,779.3
4/1/10,784.3
5/1/10,805.1
6/1/10,808.6
7/1/10,814.4
8/1/10,829.9
9/1/10,841.9
10/1/10,841.4
11/1/10,843.7
12/1/10,796.5
1/1/11,794.4
2/1/11,766.5
3/1/11,737.3
4/1/11,699.4
5/1/11,694.8
6/1/11,710.6
7/1/11,721.1
8/1/11,739
9/1/11,733.3
10/1/11,750.6
11/1/11,775.4
12/1/11,806.5
1/1/12,859.4
2/1/12,852.5
3/1/12,852
4/1/12,877.1
5/1/12,905.5
6/1/12,931.3
7/1/12,999.1
8/1/12,1014.5
9/1/12,1020.4
10/1/12,1040.7
11/1/12,1056.6
12/1/12,1067.6
1/1/13,1074.6
2/1/13,1077.1
3/1/13,1105.5
4/1/13,1125.9
5/1/13,1149.2
6/1/13,1163.4
7/1/13,1119.5
8/1/13,1147.1
9/1/13,1166.8
10/1/13,1198.1
11/1/13,1211.2
12/1/13,1231
1/1/14,1247.8
2/1/14,1285.4
3/1/14,1287.1
4/1/14,1264.5
5/1/14,1240.6
6/1/14,1237
7/1/14,1273.5
8/1/14,1247.5
9/1/14,1232.9
10/1/14,1220.9
11/1/14,1224
12/1/14,1213.4
1/1/15,1215.5
2/1/15,1243.3
3/1/15,1247.7
4/1/15,1259.9
5/1/15,1267.4
6/1/15,1250.3
7/1/15,1257.4
8/1/15,1245.3
9/1/15,1225.8
10/1/15,1176.8
11/1/15,1154.5
12/1/15,1148.6
1/1/16,1122.1
2/1/16,1121.1
3/1/16,1129.7
4/1/16,1121
5/1/16,1111
6/1/16,1124.6
7/1/16,1150.2
8/1/16,1160.7
9/1/16,1167.3
10/1/16,1158.5
11/1/16,1167.9
12/1/16,1132.9
1/1/17,1154.7
2/1/17,1154.9
3/1/17,1168.1
4/1/17,1179.2
5/1/17,1181.7
6/1/17,1180.2
7/1/17,1116.2
8/1/17,1084.5
9/1/17,1010.7
10/1/17,952.8
11/1/17,910.7
12/1/17,860.4
1/1/18,874
2/1/18,877.8
3/1/18,877.3
4/1/18,903.4
5/1/18,878.3
6/1/18,850.5
7/1/18,839
8/1/18,799.8
9/1/18,754.1
10/1/18,729.8
11/1/18,708.8