DATE,DAUTONSA
1/1/67,564.1
2/1/67,509.1
3/1/67,670.4
4/1/67,710.2
5/1/67,744.8
6/1/67,780.2
7/1/67,627.2
8/1/67,517.2
9/1/67,547.3
10/1/67,664.8
11/1/67,617.8
12/1/67,614.7
1/1/68,630.2
2/1/68,623.7
3/1/68,766.8
4/1/68,728.8
5/1/68,811
6/1/68,781
7/1/68,736.6
8/1/68,634.5
9/1/68,563.3
10/1/68,884.8
11/1/68,785.4
12/1/68,678.7
1/1/69,645.4
2/1/69,662.1
3/1/69,722.3
4/1/69,753.8
5/1/69,794.7
6/1/69,798.1
7/1/69,662.3
8/1/69,555
9/1/69,709.4
10/1/69,816.7
11/1/69,705.9
12/1/69,638.6
1/1/70,539.2
2/1/70,598.1
3/1/70,646
4/1/70,691.3
5/1/70,698.6
6/1/70,800.2
7/1/70,640.9
8/1/70,526.1
9/1/70,488.5
10/1/70,629.5
11/1/70,435.5
12/1/70,425.5
1/1/71,584.6
2/1/71,635
3/1/71,753.9
4/1/71,734.8
5/1/71,745.7
6/1/71,795.3
7/1/71,666.2
8/1/71,564.8
9/1/71,755.9
10/1/71,932
11/1/71,846.2
12/1/71,647.4
1/1/72,605
2/1/72,692.7
3/1/72,765.7
4/1/72,768.3
5/1/72,880.2
6/1/72,869.3
7/1/72,762.4
8/1/72,650.3
9/1/72,735.1
10/1/72,925.5
11/1/72,884.4
12/1/72,713.7
1/1/73,729
2/1/73,767.4
3/1/73,954.7
4/1/73,854.4
5/1/73,962.5
6/1/73,900.7
7/1/73,800.9
8/1/73,679.2
9/1/73,748.8
10/1/73,850.5
11/1/73,772.2
12/1/73,568.3
1/1/74,545.4
2/1/74,561.5
3/1/74,645.3
4/1/74,693.5
5/1/74,756.6
6/1/74,686.8
7/1/74,681.1
8/1/74,660
9/1/74,586.1
10/1/74,621.8
11/1/74,500.2
12/1/74,423.5
1/1/75,457.6
2/1/75,530.9
3/1/75,517
4/1/75,508.9
5/1/75,592
6/1/75,608.4
7/1/75,626.7
8/1/75,525.3
9/1/75,581.8
10/1/75,764.6
11/1/75,646.5
12/1/75,591.2
1/1/76,580.1
2/1/76,640.9
3/1/76,804.1
4/1/76,776.8
5/1/76,781.9
6/1/76,816.9
7/1/76,725.9
8/1/76,606.8
9/1/76,637
10/1/76,722.7
11/1/76,713.2
12/1/76,685.7
1/1/77,592.8
2/1/77,654.7
3/1/77,880.4
4/1/77,809.8
5/1/77,821.3
6/1/77,906.6
7/1/77,720
8/1/77,715.2
9/1/77,646.5
10/1/77,859.1
11/1/77,727.4
12/1/77,637.4
1/1/78,538.1
2/1/78,619.6
3/1/78,869.2
4/1/78,848.8
5/1/78,947.1
6/1/78,931.3
7/1/78,745.9
8/1/78,740.1
9/1/78,653.7
10/1/78,874.1
11/1/78,759.2
12/1/78,636.8
1/1/79,635.6
2/1/79,666.3
3/1/79,852.6
4/1/79,752.8
5/1/79,786.9
6/1/79,690.8
7/1/79,679.6
8/1/79,697.5
9/1/79,592.8
10/1/79,721.3
11/1/79,599.6
12/1/79,554.3
1/1/80,588
2/1/80,591.5
3/1/80,670.4
4/1/80,541
5/1/80,498.7
6/1/80,511.1
7/1/80,542.4
8/1/80,486.8
9/1/80,486.1
10/1/80,664.2
11/1/80,529.6
12/1/80,471.6
1/1/81,470
2/1/81,543.8
3/1/81,719.2
4/1/81,533.8
5/1/81,524.3
6/1/81,517.9
7/1/81,497.4
8/1/81,602.2
9/1/81,518.9
10/1/81,491.6
11/1/81,432.1
12/1/81,357.6
1/1/82,368.2
2/1/82,457.2
3/1/82,576
4/1/82,498.9
5/1/82,584.5
6/1/82,451.9
7/1/82,430
8/1/82,409.4
9/1/82,488.5
10/1/82,487.5
11/1/82,558.1
12/1/82,448
1/1/83,414.1
2/1/83,442.5
3/1/83,600.3
4/1/83,577.7
5/1/83,630
6/1/83,668.1
7/1/83,576.9
8/1/83,531
9/1/83,538.3
10/1/83,664.2
11/1/83,590.5
12/1/83,559.4
1/1/84,583.4
2/1/84,655
3/1/84,756.2
4/1/84,721.1
5/1/84,803.3
6/1/84,727.4
7/1/84,684.1
8/1/84,603.5
9/1/84,566.7
10/1/84,689.6
11/1/84,600.7
12/1/84,560.7
1/1/85,628
2/1/85,645.3
3/1/85,768.9
4/1/85,788.3
5/1/85,807.6
6/1/85,676.7
7/1/85,633.5
8/1/85,744.8
9/1/85,839.4
10/1/85,598.4
11/1/85,515.8
12/1/85,558
1/1/86,635.9
2/1/86,613.4
3/1/86,649.4
4/1/86,719.6
5/1/86,786.3
6/1/86,736.3
7/1/86,648.7
8/1/86,673.3
9/1/86,924.9
10/1/86,632.8
11/1/86,521.1
12/1/86,673.3
1/1/87,427.8
2/1/87,558.1
3/1/87,683.4
4/1/87,693.8
5/1/87,622.3
6/1/87,656.7
7/1/87,611
8/1/87,654
9/1/87,613.2
10/1/87,523.9
11/1/87,486
12/1/87,550.7
1/1/88,531.2
2/1/88,649.1
3/1/88,733.7
4/1/88,651.6
5/1/88,702
6/1/88,722.4
7/1/88,605.3
8/1/88,603
9/1/88,578.8
10/1/88,591.7
11/1/88,553.8
12/1/88,616.8
1/1/89,512.1
2/1/89,553.6
3/1/89,641.7
4/1/89,667.4
5/1/89,710.5
6/1/89,640.7
7/1/89,603.4
8/1/89,685.4
9/1/89,609.7
10/1/89,524.2
11/1/89,473.6
12/1/89,455.8
1/1/90,546.8
2/1/90,533.6
3/1/90,625.8
4/1/90,598.8
5/1/90,644.3
6/1/90,635.1
7/1/90,595.8
8/1/90,571.5
9/1/90,584.8
10/1/90,598.1
11/1/90,485.8
12/1/90,476.5
1/1/91,421.1
2/1/91,479
3/1/91,545
4/1/91,510.1
5/1/91,581.1
6/1/91,592.7
7/1/91,585.3
8/1/91,503.1
9/1/91,498.2
10/1/91,526.2
11/1/91,457.6
12/1/91,437.5
1/1/92,417.3
2/1/92,497.1
3/1/92,541
4/1/92,545.7
5/1/92,565.1
6/1/92,635.3
7/1/92,573.1
8/1/92,483
9/1/92,515.6
10/1/92,537.1
11/1/92,464.7
12/1/92,501.6
1/1/93,435.8
2/1/93,466.2
3/1/93,581.5
4/1/93,607.1
5/1/93,639.5
6/1/93,671.3
7/1/93,598.9
8/1/93,537.3
9/1/93,554.1
10/1/93,581.5
11/1/93,538.4
12/1/93,522.4
1/1/94,488.5
2/1/94,573.3
3/1/94,700.5
4/1/94,637.5
5/1/94,661.4
6/1/94,702.6
7/1/94,562.9
8/1/94,603.8
9/1/94,599.9
10/1/94,605.4
11/1/94,553.4
12/1/94,566
1/1/95,471.7
2/1/95,531.5
3/1/95,654.2
4/1/95,561.8
5/1/95,673.5
6/1/95,701.7
7/1/95,593.2
8/1/95,658.2
9/1/95,591.1
10/1/95,590.3
11/1/95,540.9
12/1/95,546
1/1/96,476.5
2/1/96,593.1
3/1/96,670.9
4/1/96,653.3
5/1/96,749.5
6/1/96,673.5
7/1/96,619.3
8/1/96,615.9
9/1/96,588
10/1/96,571.1
11/1/96,491.9
12/1/96,503.3
1/1/97,509.9
2/1/97,547.1
3/1/97,638.3
4/1/97,589.4
5/1/97,649.9
6/1/97,621.5
7/1/97,612
8/1/97,599.9
9/1/97,548.8
10/1/97,550.9
11/1/97,463.3
12/1/97,531.3
1/1/98,429
2/1/98,507.2
3/1/98,599.8
4/1/98,593.7
5/1/98,665.6
6/1/98,689.3
7/1/98,505
8/1/98,534
9/1/98,579
10/1/98,593.5
11/1/98,457.9
12/1/98,551.1
1/1/99,440
2/1/99,551.3
3/1/99,640
4/1/99,598
5/1/99,667.5
6/1/99,672.5
7/1/99,603.4
8/1/99,632.7
9/1/99,568.2
10/1/99,527.2
11/1/99,491.9
12/1/99,526.1
1/1/00,477.7
2/1/00,603.8
3/1/00,648.8
4/1/00,601.1
5/1/00,647.3
6/1/00,650.1
7/1/00,561.2
8/1/00,606
9/1/00,570.2
10/1/00,506.3
11/1/00,449.7
12/1/00,439.4
1/1/01,444
2/1/01,544.8
3/1/01,597.1
4/1/01,514.5
5/1/01,617.6
6/1/01,614.1
7/1/01,485.8
8/1/01,519.1
9/1/01,476.2
10/1/01,620.6
11/1/01,431.1
12/1/01,389.5
1/1/02,360.4
2/1/02,451.4
3/1/02,534.7
4/1/02,526.3
5/1/02,554.3
6/1/02,560.4
7/1/02,534.1
8/1/02,598.5
9/1/02,427.3
10/1/02,436.7
11/1/02,395
12/1/02,437.4
1/1/03,381.8
2/1/03,414.8
3/1/03,497.2
4/1/03,471.4
5/1/03,529.9
6/1/03,509.6
7/1/03,488.6
8/1/03,529.2
9/1/03,430.2
10/1/03,413.3
11/1/03,394.7
12/1/03,411.9
1/1/04,356.5
2/1/04,422.8
3/1/04,498.5
4/1/04,451.8
5/1/04,537.5
6/1/04,479.1
7/1/04,491.8
8/1/04,454.6
9/1/04,434.5
10/1/04,397.1
11/1/04,353.8
12/1/04,455.6
1/1/05,350
2/1/05,414.2
3/1/05,517.2
4/1/05,509.7
5/1/05,494.9
6/1/05,504.5
7/1/05,508.1
8/1/05,499.1
9/1/05,462.2
10/1/05,395.2
11/1/05,384.8
12/1/05,433.7
1/1/06,419.6
2/1/06,422.1
3/1/06,494.2
4/1/06,501.6
5/1/06,506.1
6/1/06,494.6
7/1/06,481.5
8/1/06,493.1
9/1/06,441.9
10/1/06,374.4
11/1/06,357.5
12/1/06,430.1
1/1/07,345
2/1/07,389.5
3/1/07,488.3
4/1/07,425.9
5/1/07,536.2
6/1/07,495.5
7/1/07,415.1
8/1/07,471.6
9/1/07,426.9
10/1/07,383.6
11/1/07,387.7
12/1/07,431.8
1/1/08,346.7
2/1/08,387.3
3/1/08,448.1
4/1/08,422.3
5/1/08,519.5
6/1/08,423.2
7/1/08,388.1
8/1/08,414.8
9/1/08,335.6
10/1/08,286.9
11/1/08,233.1
12/1/08,285.4
1/1/09,200
2/1/09,217.5
3/1/09,283.1
4/1/09,279.4
5/1/09,315.8
6/1/09,295.9
7/1/09,354.4
8/1/09,469.3
9/1/09,263.2
10/1/09,281.4
11/1/09,248.6
12/1/09,349.8
1/1/10,240.043
2/1/10,272.668
3/1/10,375.165
4/1/10,343.517
5/1/10,389.739
6/1/10,335.316
7/1/10,336.816
8/1/10,319.06
9/1/10,305.593
10/1/10,279.713
11/1/10,256.271
12/1/10,337.598
1/1/11,258.576
2/1/11,338.615
3/1/11,445.315
4/1/11,405.418
5/1/11,362.214
6/1/11,348.95
7/1/11,329.517
8/1/11,340.459
9/1/11,327.466
10/1/11,321.021
11/1/11,304.949
12/1/11,363.464
1/1/12,323.424
2/1/12,430.209
3/1/12,528.054
4/1/12,431.834
5/1/12,491.05
6/1/12,459.854
7/1/12,393.252
8/1/12,452.837
9/1/12,411.972
10/1/12,369.82
11/1/12,382.692
12/1/12,444.846
1/1/13,383.879
2/1/13,446.362
3/1/13,544.516
4/1/13,466.742
5/1/13,519.361
6/1/13,499.66
7/1/13,446.915
8/1/13,516.827
9/1/13,383.073
10/1/13,398.003
11/1/13,406.615
12/1/13,421.205
1/1/14,344.189
2/1/14,409.921
3/1/14,534.342
4/1/14,470.222
5/1/14,564.577
6/1/14,499.801
7/1/14,479.974
8/1/14,556.87
9/1/14,414.495
10/1/14,430.949
11/1/14,428.752
12/1/14,475.786
1/1/15,386.01
2/1/15,419.495
3/1/15,525.027
4/1/15,477.314
5/1/15,563.176
6/1/15,491.397
7/1/15,481.665
8/1/15,496.815
9/1/15,446.569
10/1/15,447.743
11/1/15,387.789
12/1/15,472.123
1/1/16,361.397
2/1/16,427.77
3/1/16,502.615
4/1/16,448.26
5/1/16,468.754
6/1/16,452.763
7/1/16,437.189
8/1/16,433.38
9/1/16,420.06
10/1/16,377.266
11/1/16,375.406
12/1/16,444.215
1/1/17,308.587
2/1/17,369.492
3/1/17,447.404
4/1/17,411.612
5/1/17,434.462
6/1/17,400.54
7/1/17,376.8
8/1/17,394.999
9/1/17,407.727
10/1/17,346.228
11/1/17,342.118
12/1/17,362.31
1/1/18,279.306
2/1/18,327.456
3/1/18,414.895
4/1/18,326.149
5/1/18,393.176
6/1/18,371.023
7/1/18,320.364
8/1/18,336.954
9/1/18,327.524
10/1/18,321.552
11/1/18,301.964