DATE,MAUISA
1/1/93,7.5
2/1/93,18.9
3/1/93,10.7
4/1/93,19.9
5/1/93,19.7
6/1/93,25.7
7/1/93,15
8/1/93,13.1
9/1/93,24.6
10/1/93,23.9
11/1/93,23.8
12/1/93,25.7
1/1/94,15.5
2/1/94,18.4
3/1/94,21.3
4/1/94,22.2
5/1/94,21.7
6/1/94,25.4
7/1/94,24.3
8/1/94,32.8
9/1/94,25.3
10/1/94,28.6
11/1/94,30.7
12/1/94,35.7
1/1/95,25.5
2/1/95,26
3/1/95,26
4/1/95,22.9
5/1/95,23.2
6/1/95,25
7/1/95,34
8/1/95,28.2
9/1/95,21
10/1/95,45.3
11/1/95,41.5
12/1/95,39.8
1/1/96,44.7
2/1/96,40
3/1/96,36.2
4/1/96,36.8
5/1/96,33
6/1/96,32.4
7/1/96,27.8
8/1/96,26.1
9/1/96,28.1
10/1/96,22.8
11/1/96,18.9
12/1/96,20.5
1/1/97,21.8
2/1/97,22.5
3/1/97,21.5
4/1/97,24.5
5/1/97,28.6
6/1/97,26.6
7/1/97,32.4
8/1/97,27.8
9/1/97,33.5
10/1/97,34.2
11/1/97,24.8
12/1/97,34.8
1/1/98,43.5
2/1/98,44.1
3/1/98,64.9
4/1/98,55.5
5/1/98,57.3
6/1/98,56.3
7/1/98,53.9
8/1/98,66.7
9/1/98,50.2
10/1/98,55.1
11/1/98,56.8
12/1/98,67.5
1/1/99,58.7
2/1/99,59.9
3/1/99,60
4/1/99,55
5/1/99,58.6
6/1/99,52
7/1/99,53.4
8/1/99,49.1
9/1/99,51.5
10/1/99,55.3
11/1/99,55.1
12/1/99,60.5
1/1/00,51.9
2/1/00,60.7
3/1/00,63.5
4/1/00,69.7
5/1/00,53.7
6/1/00,71.4
7/1/00,77.4
8/1/00,67.7
9/1/00,91.5
10/1/00,72
11/1/00,73.8
12/1/00,59.6
1/1/01,70.9
2/1/01,63.5
3/1/01,64.5
4/1/01,46.6
5/1/01,55.7
6/1/01,63.6
7/1/01,59.4
8/1/01,73.4
9/1/01,60.9
10/1/01,64.3
11/1/01,65.2
12/1/01,69.5
1/1/02,76.4
2/1/02,67.6
3/1/02,61.5
4/1/02,65.3
5/1/02,55.4
6/1/02,59
7/1/02,55
8/1/02,60.7
9/1/02,67.9
10/1/02,54.1
11/1/02,54
12/1/02,47.6
1/1/03,39.9
2/1/03,50.6
3/1/03,49.4
4/1/03,49.3
5/1/03,48.5
6/1/03,54.1
7/1/03,52.4
8/1/03,48.8
9/1/03,43.2
10/1/03,36.8
11/1/03,38.6
12/1/03,43
1/1/04,45
2/1/04,43.2
3/1/04,48.3
4/1/04,44.1
5/1/04,51
6/1/04,44.7
7/1/04,59.6
8/1/04,44
9/1/04,48.3
10/1/04,58.2
11/1/04,34
12/1/04,42
1/1/05,41.8
2/1/05,58.3
3/1/05,52.9
4/1/05,60
5/1/05,62.7
6/1/05,62.9
7/1/05,60.7
8/1/05,59.3
9/1/05,63.6
10/1/05,68.7
11/1/05,77.1
12/1/05,73.9
1/1/06,114.5
2/1/06,102.2
3/1/06,102.4
4/1/06,99.1
5/1/06,88
6/1/06,87.8
7/1/06,78.8
8/1/06,95
9/1/06,95.6
10/1/06,77.1
11/1/06,95.6
12/1/06,95.4
1/1/07,96.6
2/1/07,91
3/1/07,83.1
4/1/07,78.2
5/1/07,73.8
6/1/07,85.3
7/1/07,87.8
8/1/07,87.4
9/1/07,93
10/1/07,87.4
11/1/07,78.3
12/1/07,78.7
1/1/08,76.7
2/1/08,69.6
3/1/08,65.3
4/1/08,82.1
5/1/08,92.6
6/1/08,93.8
7/1/08,93.3
8/1/08,102.1
9/1/08,95.4
10/1/08,103
11/1/08,84.9
12/1/08,83.4
1/1/09,25.4
2/1/09,35.1
3/1/09,67.7
4/1/09,68.9
5/1/09,68.8
6/1/09,69.4
7/1/09,72.3
8/1/09,65.3
9/1/09,70.1
10/1/09,74.7
11/1/09,81.4
12/1/09,78.2
1/1/10,78.8
2/1/10,85
3/1/10,90.8
4/1/10,81
5/1/10,74.7
6/1/10,74.1
7/1/10,75.2
8/1/10,85.9
9/1/10,86.1
10/1/10,82.6
11/1/10,82.7
12/1/10,85.1
1/1/11,97.9
2/1/11,81.1
3/1/11,80.7
4/1/11,84.2
5/1/11,88.4
6/1/11,88.2
7/1/11,98.2
8/1/11,80.8
9/1/11,84.7
10/1/11,83
11/1/11,91.7
12/1/11,87.6
1/1/12,94.5
2/1/12,92.4
3/1/12,90.6
4/1/12,92.5
5/1/12,91.5
6/1/12,91.6
7/1/12,110.3
8/1/12,81.9
9/1/12,76.4
10/1/12,91.3
11/1/12,89.6
12/1/12,101.5
1/1/13,96.9
2/1/13,101.3
3/1/13,99.4
4/1/13,106
5/1/13,99.6
6/1/13,92.6
7/1/13,93.8
8/1/13,106.1
9/1/13,97
10/1/13,100.9
11/1/13,95.5
12/1/13,91.6
1/1/14,104
2/1/14,99.4
3/1/14,109.2
4/1/14,100
5/1/14,106.1
6/1/14,117.7
7/1/14,134.9
8/1/14,113
9/1/14,107.3
10/1/14,121.7
11/1/14,111.8
12/1/14,114.6
1/1/15,114
2/1/15,122.2
3/1/15,108.9
4/1/15,118.6
5/1/15,116.5
6/1/15,117.1
7/1/15,106.4
8/1/15,128.1
9/1/15,110.8
10/1/15,103.7
11/1/15,112.6
12/1/15,112.9
1/1/16,103
2/1/16,106.9
3/1/16,104.5
4/1/16,92.9
5/1/16,108
6/1/16,103.6
7/1/16,124
8/1/16,115.2
9/1/16,117.9
10/1/16,106.8
11/1/16,120.8
12/1/16,113.2
1/1/17,97
2/1/17,92
3/1/17,115.5
4/1/17,107.3
5/1/17,105.1
6/1/17,102.9
7/1/17,97.9
8/1/17,96.1
9/1/17,105.4
10/1/17,118.4
11/1/17,100.6
12/1/17,102.2
1/1/18,136.2
2/1/18,104.7
3/1/18,108.7
4/1/18,112.8
5/1/18,106.5
6/1/18,97.2
7/1/18,108.2
8/1/18,92.2
9/1/18,98.2
10/1/18,111.9