DATE,RSMVPD
1/1/92,33478
2/1/92,33817
3/1/92,33336
4/1/92,33776
5/1/92,34357
6/1/92,34781
7/1/92,35199
8/1/92,34585
9/1/92,35890
10/1/92,35972
11/1/92,35928
12/1/92,36272
1/1/93,37621
2/1/93,36723
3/1/93,35955
4/1/93,38521
5/1/93,39006
6/1/93,38892
7/1/93,40290
8/1/93,40504
9/1/93,40203
10/1/93,40857
11/1/93,42077
12/1/93,42796
1/1/94,42660
2/1/94,43685
3/1/94,44475
4/1/94,45072
5/1/94,44098
6/1/94,44541
7/1/94,44477
8/1/94,45232
9/1/94,46314
10/1/94,47041
11/1/94,47203
12/1/94,46941
1/1/95,47224
2/1/95,45902
3/1/95,46681
4/1/95,47056
5/1/95,47718
6/1/95,49652
7/1/95,48832
8/1/95,49748
9/1/95,49188
10/1/95,49271
11/1/95,49863
12/1/95,50163
1/1/96,50349
2/1/96,52288
3/1/96,52348
4/1/96,51531
5/1/96,52200
6/1/96,51798
7/1/96,52004
8/1/96,51472
9/1/96,53184
10/1/96,53450
11/1/96,52710
12/1/96,52835
1/1/97,54010
2/1/97,54601
3/1/97,54233
4/1/97,53861
5/1/97,52191
6/1/97,54066
7/1/97,55255
8/1/97,55488
9/1/97,55334
10/1/97,54856
11/1/97,55314
12/1/97,55763
1/1/98,55494
2/1/98,54841
3/1/98,56135
4/1/98,57464
5/1/98,57882
6/1/98,59264
7/1/98,56320
8/1/98,54997
9/1/98,57196
10/1/98,59294
11/1/98,59817
12/1/98,60473
1/1/99,60535
2/1/99,61260
3/1/99,61641
4/1/99,62150
5/1/99,63211
6/1/99,63452
7/1/99,64509
8/1/99,65713
9/1/99,65150
10/1/99,64519
11/1/99,66269
12/1/99,65909
1/1/00,67679
2/1/00,69085
3/1/00,68433
4/1/00,65812
5/1/00,65781
6/1/00,66638
7/1/00,65205
8/1/00,65311
9/1/00,66850
10/1/00,66208
11/1/00,64645
12/1/00,63524
1/1/01,65926
2/1/01,66188
3/1/01,65671
4/1/01,66933
5/1/01,67039
6/1/01,66710
7/1/01,66067
8/1/01,66350
9/1/01,63929
10/1/01,80455
11/1/01,72413
12/1/01,68220
1/1/02,67665
2/1/02,68168
3/1/02,66570
4/1/02,68251
5/1/02,65062
6/1/02,67354
7/1/02,69944
8/1/02,72204
9/1/02,68066
10/1/02,67553
11/1/02,67931
12/1/02,69794
1/1/03,69673
2/1/03,66535
3/1/03,68628
4/1/03,69580
5/1/03,69660
6/1/03,70325
7/1/03,71049
8/1/03,72919
9/1/03,71184
10/1/03,69817
11/1/03,71738
12/1/03,70103
1/1/04,69270
2/1/04,71093
3/1/04,72137
4/1/04,69960
5/1/04,72821
6/1/04,68991
7/1/04,71238
8/1/04,71365
9/1/04,74729
10/1/04,73858
11/1/04,73407
12/1/04,75387
1/1/05,72083
2/1/05,73773
3/1/05,74147
4/1/05,73649
5/1/05,73225
6/1/05,79639
7/1/05,81605
8/1/05,73787
9/1/05,70627
10/1/05,67853
11/1/05,73211
12/1/05,73332
1/1/06,76757
2/1/06,74108
3/1/06,74609
4/1/06,74898
5/1/06,74081
6/1/06,75369
7/1/06,75964
8/1/06,75187
9/1/06,74579
10/1/06,75447
11/1/06,76064
12/1/06,75438
1/1/07,75399
2/1/07,75841
3/1/07,75472
4/1/07,76205
5/1/07,77186
6/1/07,74794
7/1/07,74932
8/1/07,76549
9/1/07,77176
10/1/07,77617
11/1/07,75921
12/1/07,73345
1/1/08,73834
2/1/08,72206
3/1/08,71774
4/1/08,70052
5/1/08,69143
6/1/08,67161
7/1/08,64397
8/1/08,64985
9/1/08,62549
10/1/08,56599
11/1/08,54984
12/1/08,54123
1/1/09,55790
2/1/09,54188
3/1/09,53100
4/1/09,53557
5/1/09,54089
6/1/09,56611
7/1/09,57748
8/1/09,62263
9/1/09,53534
10/1/09,56469
11/1/09,57355
12/1/09,57079
1/1/10,56920
2/1/10,55856
3/1/10,60953
4/1/10,61823
5/1/10,61617
6/1/10,61478
7/1/10,62510
8/1/10,62551
9/1/10,63136
10/1/10,64805
11/1/10,65498
12/1/10,65244
1/1/11,66286
2/1/11,67320
3/1/11,67587
4/1/11,66876
5/1/11,65855
6/1/11,66654
7/1/11,66429
8/1/11,65792
9/1/11,68823
10/1/11,69812
11/1/11,70293
12/1/11,71614
1/1/12,71646
2/1/12,72589
3/1/12,72775
4/1/12,72871
5/1/12,73572
6/1/12,72581
7/1/12,73004
8/1/12,73859
9/1/12,75275
10/1/12,74807
11/1/12,75763
12/1/12,76859
1/1/13,77647
2/1/13,78647
3/1/13,77888
4/1/13,78322
5/1/13,79464
6/1/13,81170
7/1/13,81451
8/1/13,81086
9/1/13,79722
10/1/13,81129
11/1/13,81678
12/1/13,81058
1/1/14,78622
2/1/14,80935
3/1/14,84039
4/1/14,85315
5/1/14,85572
6/1/14,85589
7/1/14,86014
8/1/14,86852
9/1/14,85954
10/1/14,86358
11/1/14,87321
12/1/14,86848
1/1/15,88042
2/1/15,86372
3/1/15,90337
4/1/15,90744
5/1/15,91706
6/1/15,91506
7/1/15,91581
8/1/15,92162
9/1/15,92624
10/1/15,92341
11/1/15,93016
12/1/15,92630
1/1/16,92341
2/1/16,94074
3/1/16,92532
4/1/16,93357
5/1/16,93439
6/1/16,93849
7/1/16,95448
8/1/16,95698
9/1/16,96443
10/1/16,97101
11/1/16,96754
12/1/16,99380
1/1/17,98955
2/1/17,98078
3/1/17,97050
4/1/17,98006
5/1/17,98691
6/1/17,99583
7/1/17,99552
8/1/17,97706
9/1/17,102152
10/1/17,103204
11/1/17,102242
12/1/17,101989
1/1/18,101058
2/1/18,99958
3/1/18,101907
4/1/18,102149
5/1/18,102740
6/1/18,102669
7/1/18,102705
8/1/18,101937
9/1/18,101926
10/1/18,103487
11/1/18,103704